Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/03/25,NEFT CR-AXISCN5333-ACME CORP SALARY,NEF0000001,01/03/25,,120000.00,291540.17
01/03/25,UPI-UBER INDIA SYSTEMS-uberindiasystems@paytm-446273815783-PAYMENT RECEIVED,NEF0000013,01/03/25,358.69,,291181.48
04/03/25,NEFT DR-AXISCN3546-LANDLORD RENT,NEF0000002,04/03/25,35000.00,,256181.48
04/03/25,UPI-ZOMATO-zomato@paytm-639041627377-COLLECT REQUEST,NEF0000006,04/03/25,670.29,,255511.19
05/03/25,UPI-SWIGGY INSTAMART-swiggyinstamart@axl-140997998139-COLLECT REQUEST,NEF0000008,05/03/25,212.67,,255298.52
07/03/25,UPI-SWIGGY-swiggy@axl-277218748445-PAYMENT RECEIVED,NEF0000007,07/03/25,252.32,,255046.20
08/03/25,ACH D-NETFLIX,NEF0000003,08/03/25,649.00,,254397.20
10/03/25,ACH D-SPOTIFY,NEF0000004,10/03/25,119.00,,254278.20
12/03/25,ACH D-ACT FIBERNET,NEF0000005,12/03/25,1049.00,,253229.20
12/03/25,UPI-SWIGGY-swiggy@ybl-494702875840-PAYMENT FROM PHONE,NEF0000009,12/03/25,452.02,,252777.18
13/03/25,UPI-OLA-ola@oksbi-543782576388-PAYMENT RECEIVED,NEF0000014,13/03/25,266.17,,252511.01
17/03/25,UPI-BESCOM-bescom@ybl-663859569104-PAYMENT RECEIVED,NEF0000017,17/03/25,2859.21,,249651.80
19/03/25,UPI-UBER INDIA SYSTEMS-uberindiasystems@oksbi-923247811948-PAYMENT FROM PHONE,NEF0000015,19/03/25,245.72,,249406.08
20/03/25,UPI-SWIGGY INSTAMART-swiggyinstamart@axl-126727253143-PAYMENT RECEIVED,NEF0000012,20/03/25,658.30,,248747.78
21/03/25,UPI-ZOMATO-zomato@paytm-982236590250-PAYMENT RECEIVED,NEF0000010,21/03/25,470.20,,248277.58
21/03/25,UPI-ZOMATO-zomato@ybl-342539766821-PAYMENT FROM PHONE,NEF0000011,21/03/25,374.85,,247902.73
24/03/25,UPI-OLA-ola@okhdfcbank-819865130020-COLLECT REQUEST,NEF0000016,24/03/25,168.87,,247733.86
28/03/25,TRANSFER-ICICI CREDIT CARD PAYMENT,NEF0000018,28/03/25,23772.87,,223960.99
31/03/25,NEFT CR-CITI0042-SAVINGS INTEREST CREDIT,NEF0000019,31/03/25,,145.25,224106.24
